OBJECTID,ADDRESSBLO,ADDRESSBUI,ADDRESSPOS,ADDRESSSTR,LATITUDE,LONGITUDE
1,107A,SUNSET WAY RESIDENCE,121107,CLEMENTI STREET 12,1.322125257372498,103.77006908672017
2,108,SUNSET WAY RESIDENCE,120108,CLEMENTI STREET 11,1.3221232709932167,103.7702655750101
3,354A,,561354,ANG MO KIO STREET 32,1.3644037299839045,103.85181057955025
4,106A,TOA PAYOH BLOOM,311106,LORONG 1 TOA PAYOH,1.340578277898505,103.847934444791
5,106,,820106,PUNGGOL FIELD,1.3963911825812656,103.90829148218673
6,108A,SUNSET WAY RESIDENCE,121108,CLEMENTI STREET 11,1.322257722461529,103.77014621869895
7,43A,PINE GREEN,391043,JALAN TIGA,1.3084375632193392,103.88489622961671
8,164,,820164,PUNGGOL CENTRAL,1.3957259098595338,103.91445365080621
9,826A,,521826,TAMPINES STREET 81,1.349192413626719,103.93409204329484
10,828A,,521828,TAMPINES STREET 81,1.3491109079933192,103.93428513088101
11,177B,,672177,LOMPANG ROAD,1.380035328839428,103.7650614474808
12,99C,TOA PAYOH PALM SPRING,312099,LORONG 2 TOA PAYOH,1.3390154602537108,103.8474490276851
13,486B,,682486,CHOA CHU KANG AVENUE 5,1.375251757631041,103.73802818540351
14,11,,162011,YORK HILL,1.2872632761676364,103.83802994811185
15,109A,SUNSET WAY RESIDENCE,121109,CLEMENTI STREET 11,1.3216692046305607,103.77035123376533
16,647A,EASTDALE,821647,PUNGGOL CENTRAL,1.398466606109349,103.91553412488383
17,197,,820197,PUNGGOL FIELD,1.3996418082831479,103.90660195318979
18,256A,,551256,SERANGOON CENTRAL DRIVE,1.3552156233020785,103.8716273174123
19,102,,820102,PUNGGOL FIELD,1.3982799028718267,103.90565412074886
20,117,HDB-QUEENSTOWN,140117,COMMONWEALTH DRIVE,1.3065917869070955,103.80026969594637
21,137,HDB-BUKIT MERAH,160137,JALAN BUKIT MERAH,1.2781465958293838,103.82695864124872
22,690,,680690,CHOA CHU KANG CRESCENT,1.4029549600529385,103.7520524461971
23,688,,680688,CHOA CHU KANG DRIVE,1.403724825928461,103.75053091325356
24,631A,,641631,JURONG WEST STREET 65,1.3433841384640484,103.69982554392574
25,667E,,645667,JURONG WEST STREET 65,1.3420371295503584,103.70250946420279
26,46,,330046,BENDEMEER ROAD,1.3229055704731643,103.86602861870907
27,691,,680691,CHOA CHU KANG CRESCENT,1.400895783144933,103.75148588361785
28,28B,,154028,HOY FATT ROAD,1.286634096310803,103.8095444361316
29,740A,RESERVOIR VILLAGE,471740,BEDOK RESERVOIR ROAD,1.3383884385531473,103.92309549739541
30,482A,SEGAR GARDENS,671482,SEGAR ROAD,1.3889278358049049,103.77238741408529
31,685,HDB-KALLANG/WHAMPOA,210685,RACE COURSE ROAD,1.3140051730832125,103.85683094870636
32,684,HDB-KALLANG/WHAMPOA,210684,RACE COURSE ROAD,1.314306416750745,103.85665921075707
33,124E,RIVERVALE GROVE,545124,RIVERVALE DRIVE,1.3869981933462086,103.90251534166707
34,214A,,461214,NEW UPPER CHANGI ROAD,1.3257196897811339,103.9325062841417
35,125A,BISHAN-TOA PAYOH TOWN COUNCIL (MAIN OFFICE),311125,LORONG 2 TOA PAYOH,1.3375505699250994,103.84575245198884
36,85A,COMMONWEALTH HEIGHTS,142085,COMMONWEALTH CLOSE,1.303784688799119,103.79925231144182
